Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Bamboo Fiber,42.8,8.1,97.3,0.81,33.2,7,Highly Recommended
Aluminum Foil,43.1,1.2,0,10.09,95.9,10,Avoid
Virgin Plastic (PP),71.4,9,2.7,5.76,23.3,10,Avoid
Recycled Cardboard,17.9,8,93.8,1.1,99.4,5,Highly Recommended
Bioplastic (PLA),65.1,3.6,89,1.55,55.7,9,Highly Recommended
Virgin Plastic (PP),62.5,1,0.7,5.73,18.5,10,Avoid
Bamboo Fiber,49.6,2.7,97.2,0.97,48,8,Highly Recommended
Aluminum Foil,28.9,3.9,0,10.64,99.4,10,Avoid
Mushroom Mycelium,14.5,1.4,100,0.24,100,6,Highly Recommended
Bagasse (Sugarcane),37.4,8.8,95.9,1.18,55.7,5,Highly Recommended
Bioplastic (PLA),57.8,7.1,89.6,1.75,54.3,8,Highly Recommended
Bagasse (Sugarcane),20.4,8.9,99,1.14,51.8,6,Highly Recommended
Recycled Cardboard,15.8,7.1,97.8,1.14,88.1,4,Highly Recommended
Virgin Plastic (PP),88.5,1,4.5,4.12,25.5,10,Avoid
Bamboo Fiber,41.8,3.8,98.3,1.01,48.9,6,Highly Recommended
Bioplastic (PLA),54.1,9.2,85.2,2.34,46.1,9,Consider as Option
Edible Seaweed Film,13.5,7.7,100,0.46,4.6,4,Consider as Option
Bioplastic (PLA),60.7,7.1,88.3,1.72,45.3,9,Highly Recommended
Aluminum Foil,29.4,2.6,0,10.35,99.7,10,Avoid
Aluminum Foil,21.1,4.4,0,11.55,95.8,10,Avoid
Aluminum Foil,23,1.7,0,10.2,98.1,10,Avoid
Recycled Cardboard,24.7,7.9,95.9,1.09,83.8,4,Highly Recommended
Recycled Cardboard,18.8,2.1,91.8,1.1,93.1,3,Highly Recommended
Bagasse (Sugarcane),26.9,6.8,95.4,0.98,61.3,5,Highly Recommended
Virgin Plastic (PP),62.1,6,0.4,4.45,29.8,10,Avoid
Edible Seaweed Film,7.4,8.8,100,0.42,0.6,4,Consider as Option
Mushroom Mycelium,15.4,4.4,100,0.29,100,6,Highly Recommended
Aluminum Foil,45,5.4,0,10.4,93.2,10,Avoid
Recycled Cardboard,33.1,10,92.1,0.88,81.8,5,Highly Recommended
Bioplastic (PLA),61.4,6.8,81.5,2.29,51.1,8,Consider as Option
Edible Seaweed Film,9.5,5.6,100,0.39,5.9,4,Consider as Option
Bamboo Fiber,42.1,6,95.3,0.8,40,8,Highly Recommended
Aluminum Foil,36.8,7.2,0,11.7,97.9,10,Avoid
Aluminum Foil,39.9,4,0,9.4,90.5,10,Avoid
Aluminum Foil,44,7.3,0,9.85,97.7,10,Avoid
Bamboo Fiber,57.4,2.9,97.7,1.14,42.8,6,Highly Recommended
Recycled Cardboard,24.8,6.5,94.1,0.93,88.4,3,Highly Recommended
Aluminum Foil,42.7,0.7,0,11.61,91.3,10,Avoid
Aluminum Foil,21.7,8.8,0,9.52,94.7,10,Avoid
Bamboo Fiber,42.3,1.3,98.7,1.16,45.9,8,Highly Recommended
Bagasse (Sugarcane),21.7,3.5,99,1.18,64.9,6,Highly Recommended
Mushroom Mycelium,16.8,5.9,100,0.19,100,4,Highly Recommended
Bamboo Fiber,44.9,1.6,99.2,0.74,38.9,7,Highly Recommended
Mushroom Mycelium,22.7,1.5,100,0.29,100,5,Highly Recommended
Aluminum Foil,26.1,7.5,0,10.24,93.7,10,Avoid
Edible Seaweed Film,9.9,1.1,100,0.48,8.5,4,Consider as Option
Bagasse (Sugarcane),26.7,1.7,96.4,1.33,54.9,5,Highly Recommended
Virgin Plastic (PP),60.4,4.5,3,5.18,26.7,10,Avoid
Recycled Cardboard,23.4,7.3,90,1.04,89.3,4,Highly Recommended
Aluminum Foil,30.9,0.7,0,9.83,91.4,10,Avoid
Mushroom Mycelium,10.8,4,100,0.22,100,5,Highly Recommended
Recycled Cardboard,16.2,2.2,96,1.3,91,4,Highly Recommended
Aluminum Foil,31.1,5.5,0,8.33,90.8,10,Avoid
Recycled Cardboard,15.7,5.7,96.7,1.38,97.4,3,Highly Recommended
Recycled Cardboard,21.8,7.7,94.4,1.45,96.8,5,Highly Recommended
Edible Seaweed Film,6.3,2,100,0.42,3.6,3,Consider as Option
Edible Seaweed Film,12.2,7.2,100,0.41,1.7,3,Consider as Option
Edible Seaweed Film,6.3,6.3,100,0.37,4.7,3,Consider as Option
Bamboo Fiber,49.8,9.3,98.2,0.55,34.7,7,Highly Recommended
Recycled Cardboard,22.9,0.6,94.6,1.02,92.1,4,Highly Recommended
Recycled Cardboard,17.3,2.6,97.9,1.33,88.6,5,Highly Recommended
Recycled Cardboard,30.3,4.2,99.8,1.44,84.2,5,Highly Recommended
Recycled Cardboard,21.7,2.3,95.1,1.44,91.4,5,Highly Recommended
Bioplastic (PLA),53,4.7,88.6,2.32,58.5,8,Highly Recommended
Bioplastic (PLA),68.7,2.6,88.3,2.34,46.2,8,Consider as Option
Bioplastic (PLA),74.8,3,85.3,2.02,42.9,9,Highly Recommended
Virgin Plastic (PP),85.8,5.9,4.9,3.75,22.9,10,Avoid
Virgin Plastic (PP),82.1,9.7,0.2,3.87,14.2,10,Avoid
Bamboo Fiber,45.3,3.6,95.9,0.75,44.5,6,Highly Recommended
Edible Seaweed Film,10.8,9.2,100,0.2,6.9,3,Consider as Option
Virgin Plastic (PP),86,7.3,0.9,5.79,21.4,10,Avoid
Bagasse (Sugarcane),38.7,7.4,98.3,1.21,63.1,5,Highly Recommended
Bamboo Fiber,50.8,3.3,99.7,0.72,33.9,8,Highly Recommended
Mushroom Mycelium,17.5,9.9,100,0.33,100,6,Highly Recommended
Virgin Plastic (PP),72.6,1.9,4.8,4.9,29.4,10,Avoid
Bioplastic (PLA),67.2,8.8,86.7,1.98,47.2,9,Highly Recommended
Aluminum Foil,21.7,3.5,0,9.41,95.7,10,Avoid
Aluminum Foil,25.3,3.8,0,9.41,96.6,10,Avoid
Bamboo Fiber,42.5,6.3,98.2,0.9,47.4,8,Highly Recommended
Bamboo Fiber,57.2,6.8,95.3,0.5,48.3,7,Highly Recommended
Bagasse (Sugarcane),30.3,4.4,95.4,1.35,64.7,6,Highly Recommended
Virgin Plastic (PP),89.9,0.9,4.2,5.71,18.7,10,Avoid
Mushroom Mycelium,23.5,7.9,100,0.22,100,4,Highly Recommended
Edible Seaweed Film,11.1,6.9,100,0.39,3.4,2,Consider as Option
Bagasse (Sugarcane),38.6,5.8,97.1,1.07,59.8,7,Highly Recommended
Recycled Cardboard,17.8,9.6,91.6,1.34,88.7,3,Highly Recommended
Mushroom Mycelium,20.3,1.3,100,0.38,100,6,Highly Recommended
Aluminum Foil,27.4,2.8,0,9.37,90.1,10,Avoid
Bamboo Fiber,49,6.4,97.7,0.81,30.1,8,Highly Recommended
Virgin Plastic (PP),65.7,4.9,4,5.09,19.7,10,Avoid
Mushroom Mycelium,18.8,8.7,100,0.2,100,6,Highly Recommended
Bioplastic (PLA),74,8.4,87.4,1.68,54,8,Highly Recommended
Mushroom Mycelium,11.4,7.9,100,0.39,100,5,Highly Recommended
Virgin Plastic (PP),63.1,3.1,2.8,4.59,15.5,10,Avoid
Bagasse (Sugarcane),23,4.6,98.9,1.36,54.1,7,Highly Recommended
Virgin Plastic (PP),80.3,7.4,4.7,3.65,16.9,10,Avoid
Recycled Cardboard,22,1.2,97.8,1.06,85.3,4,Highly Recommended
Recycled Cardboard,27.6,6.5,95.6,1,80.8,5,Highly Recommended
Aluminum Foil,21.2,5.4,0,10.95,96.3,10,Avoid
Bamboo Fiber,58.7,6.7,97.4,0.91,47.3,7,Highly Recommended
Bioplastic (PLA),71,8.1,81.6,2.17,58.6,8,Consider as Option
Bagasse (Sugarcane),39.3,4.5,97.9,1.04,56.8,7,Highly Recommended
Virgin Plastic (PP),61.2,6.3,3.8,5.57,11.9,10,Avoid
Bagasse (Sugarcane),37.6,6,96.3,1.23,62.8,5,Highly Recommended
Bagasse (Sugarcane),35.7,2.4,97.1,1.08,60.9,6,Highly Recommended
Bioplastic (PLA),70.4,4.4,92.8,2.12,55.8,8,Highly Recommended
Aluminum Foil,35.9,2.7,0,8.92,98.1,10,Avoid
Recycled Cardboard,20.5,2.8,90.9,0.88,91.9,4,Highly Recommended
Mushroom Mycelium,23.4,8.9,100,0.37,100,4,Highly Recommended
Bagasse (Sugarcane),31,1.7,95.8,1.12,69.6,5,Highly Recommended
Virgin Plastic (PP),87.3,8.4,1.6,5.2,19.6,10,Avoid
Bagasse (Sugarcane),35.9,10,99.6,1.03,61,5,Highly Recommended
Edible Seaweed Film,7.3,7.1,100,0.46,2,2,Consider as Option
Mushroom Mycelium,12.6,9.7,100,0.25,100,4,Highly Recommended
Recycled Cardboard,15.1,8.5,93.7,0.93,85.3,5,Highly Recommended
Edible Seaweed Film,7.4,9.9,100,0.3,1.7,2,Consider as Option
Bamboo Fiber,46,8,97.6,0.56,47.5,6,Highly Recommended
Bamboo Fiber,49.2,9,96.2,0.89,42.2,6,Highly Recommended
Aluminum Foil,32.1,9.6,0,8.02,96.6,10,Avoid
Aluminum Foil,35.2,8.9,0,8.26,92.7,10,Avoid
Recycled Cardboard,28.4,8.1,90.3,1.2,98.6,5,Highly Recommended
Bioplastic (PLA),64.2,9,82.2,2.42,53.8,9,Consider as Option
Bagasse (Sugarcane),37.6,1.2,95.1,1.27,68.9,7,Highly Recommended
Mushroom Mycelium,10.1,6.2,100,0.14,100,4,Highly Recommended
Virgin Plastic (PP),72.7,2,0.7,5.02,16.3,10,Avoid
Edible Seaweed Film,10.1,9.8,100,0.46,6.6,4,Consider as Option
Recycled Cardboard,24.7,9.5,96.4,1.44,84.4,4,Highly Recommended
Edible Seaweed Film,8.5,2,100,0.44,2.2,3,Consider as Option
Bamboo Fiber,41.4,6.8,98.3,1.13,44.2,8,Highly Recommended
Virgin Plastic (PP),75.2,1.3,4.5,5.53,10.3,10,Avoid
Aluminum Foil,34.1,9.4,0,9.98,91.7,10,Avoid
Virgin Plastic (PP),81.7,1.4,3.2,5.21,20.6,10,Avoid
Edible Seaweed Film,5.3,6.8,100,0.34,4.7,3,Consider as Option
Recycled Cardboard,19.6,6.1,91.5,0.83,86.2,3,Highly Recommended
Bamboo Fiber,56.8,6.3,96.5,1,39.4,8,Highly Recommended
Recycled Cardboard,22.5,8.7,92,1.1,91.9,3,Highly Recommended
Bagasse (Sugarcane),24.9,2.5,96.3,1.02,56.2,7,Highly Recommended
Bagasse (Sugarcane),29.9,7.7,99.1,1.17,69.7,6,Highly Recommended
Mushroom Mycelium,14,4.5,100,0.23,100,5,Highly Recommended
Mushroom Mycelium,20.6,3.6,100,0.29,100,4,Highly Recommended
Recycled Cardboard,26.9,1.5,90.2,1.05,83.7,4,Highly Recommended
Bioplastic (PLA),54.8,8.5,94.2,1.74,58.6,8,Highly Recommended
Virgin Plastic (PP),70.6,3,3.9,3.77,22.8,10,Avoid
Recycled Cardboard,31.1,2.2,96.9,1.02,94.8,5,Highly Recommended
Edible Seaweed Film,7.8,8.1,100,0.28,6.2,3,Consider as Option
Bamboo Fiber,58.1,8.9,95.5,0.59,31.4,6,Highly Recommended
Bagasse (Sugarcane),25.6,4.2,97.3,1.34,65.1,5,Highly Recommended
Recycled Cardboard,30.7,7.9,92,1.39,92.5,3,Highly Recommended
Bamboo Fiber,49.7,8.2,99.1,0.95,47.2,8,Highly Recommended
Bagasse (Sugarcane),37.4,5.9,95.4,1.11,50.1,7,Highly Recommended
Edible Seaweed Film,11.1,3.5,100,0.21,5.7,3,Consider as Option
Bagasse (Sugarcane),37.3,2.3,97,1.07,64.2,7,Highly Recommended
Mushroom Mycelium,24.3,6.9,100,0.31,100,4,Highly Recommended
Virgin Plastic (PP),65.7,6.9,4.1,5.59,25.6,10,Avoid
Edible Seaweed Film,12.9,2.3,100,0.41,2.5,2,Consider as Option
Bamboo Fiber,48.7,9.8,96.7,0.62,42.4,6,Highly Recommended
Bioplastic (PLA),57.2,1,94.8,1.52,58.8,8,Highly Recommended
Bioplastic (PLA),67,2.9,95,2.14,59.4,9,Highly Recommended
Recycled Cardboard,32.7,9.8,94.5,1.31,98.3,3,Highly Recommended
Bagasse (Sugarcane),28.3,6.4,95,0.94,62.4,5,Highly Recommended
Mushroom Mycelium,16.5,8.8,100,0.31,100,6,Highly Recommended
Mushroom Mycelium,17,0.7,100,0.29,100,4,Highly Recommended
Bamboo Fiber,56.1,9.7,96.6,0.86,37.4,6,Highly Recommended
Aluminum Foil,26.9,7.7,0,8.75,93,10,Avoid
Virgin Plastic (PP),78.4,0.8,0.7,3.69,18.3,10,Avoid
Bamboo Fiber,55.8,4.9,99.3,1,38.2,6,Highly Recommended
Recycled Cardboard,30.2,2.8,93.2,0.87,99.2,3,Highly Recommended
Bagasse (Sugarcane),37.2,3.3,96.1,1.06,67.2,7,Highly Recommended
Bagasse (Sugarcane),31.8,9.7,95.7,1.23,52.5,6,Highly Recommended
Aluminum Foil,38.6,1.6,0,10.21,94.9,10,Avoid
Bagasse (Sugarcane),36.3,4.9,99.2,1.24,50,7,Highly Recommended
Bamboo Fiber,40.9,3.2,96,0.76,34.3,7,Highly Recommended
Bamboo Fiber,51.8,6.3,99.4,0.97,31.8,8,Highly Recommended
Bamboo Fiber,50.5,0.6,95.2,0.77,43.1,6,Highly Recommended
Aluminum Foil,33.4,9.1,0,9.97,97.6,10,Avoid
Aluminum Foil,35.9,3.6,0,10.53,97.4,10,Avoid
Mushroom Mycelium,18.1,4.8,100,0.14,100,5,Highly Recommended
Recycled Cardboard,27.3,2.4,97.1,1.03,89.3,4,Highly Recommended
Bagasse (Sugarcane),23.5,7.8,97.4,0.95,53.2,5,Highly Recommended
Bamboo Fiber,58.7,8,97.2,0.91,40.3,8,Highly Recommended
Bioplastic (PLA),62.6,9.8,82.1,1.79,43.2,8,Consider as Option
Recycled Cardboard,17,6.4,93.9,0.93,95.4,4,Highly Recommended
Bioplastic (PLA),52.7,8.1,88.5,2.23,55.9,8,Highly Recommended
Bamboo Fiber,42.4,2.9,96.5,0.88,35.8,7,Highly Recommended
Recycled Cardboard,33.3,8.9,95.2,0.92,88.2,4,Highly Recommended
Mushroom Mycelium,16.5,9.7,100,0.21,100,4,Highly Recommended
Virgin Plastic (PP),61.3,0.8,0.3,4.94,20.1,10,Avoid
Aluminum Foil,35.3,5.7,0,11.55,97,10,Avoid
Aluminum Foil,30.2,1.4,0,10.39,98.7,10,Avoid
Edible Seaweed Film,7.4,3.3,100,0.5,0.3,4,Consider as Option
Mushroom Mycelium,16.7,8.9,100,0.34,100,6,Highly Recommended
Aluminum Foil,38.9,8.2,0,11.27,93.6,10,Avoid
Bagasse (Sugarcane),27.9,8.8,99.6,1.27,56.4,7,Highly Recommended
Bioplastic (PLA),68.1,6,87.5,2.12,41.9,9,Highly Recommended
Aluminum Foil,40,7.9,0,11.08,97.5,10,Avoid
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,Highly Recommended
Virgin Plastic (PP),81,3.9,0.3,4.08,12.2,10,Avoid
Recycled Cardboard,23.8,7.2,95.1,0.95,98.2,5,Highly Recommended
Edible Seaweed Film,7.5,0.6,100,0.39,4.4,3,Consider as Option
Bamboo Fiber,53.2,2.9,95.4,1.08,31.1,7,Highly Recommended
Bagasse (Sugarcane),32.5,9.5,95.7,1.24,55.5,5,Highly Recommended
Mushroom Mycelium,24.6,7.4,100,0.23,100,4,Highly Recommended
Virgin Plastic (PP),76.8,2.5,3.6,5.53,29.4,10,Avoid
Bagasse (Sugarcane),33.5,6.5,95,1.16,67.5,7,Highly Recommended
Mushroom Mycelium,21.4,4.2,100,0.31,100,4,Highly Recommended
Recycled Cardboard,33.2,7.8,95.6,1.19,80.2,3,Highly Recommended
Bagasse (Sugarcane),29.7,2.8,95.4,1.29,67,7,Highly Recommended
Bagasse (Sugarcane),34.5,2.8,96.5,1.31,57.4,5,Highly Recommended
Bioplastic (PLA),52.7,5.4,90.4,1.97,51.4,9,Highly Recommended
Aluminum Foil,24.2,9.6,0,8.8,94.7,10,Avoid
Bamboo Fiber,41.9,1.7,96.9,0.59,46.7,8,Highly Recommended
Bioplastic (PLA),74.4,3.2,89.4,2.39,44.3,8,Consider as Option
Bioplastic (PLA),61.3,0.8,82,2.37,55.7,9,Highly Recommended
Bioplastic (PLA),74.2,8.1,90.6,2.15,48.2,8,Highly Recommended
Edible Seaweed Film,8.6,1.9,100,0.24,3.6,4,Consider as Option
Recycled Cardboard,32.4,9.7,97.3,1,97.6,5,Highly Recommended
Edible Seaweed Film,6.4,1.5,100,0.58,6.1,2,Consider as Option
Recycled Cardboard,23.1,1,97.7,1.31,89.9,3,Highly Recommended
Bioplastic (PLA),60.8,1.1,93,2.16,51.3,9,Highly Recommended
Bamboo Fiber,42,6,97.9,0.91,30.5,7,Highly Recommended
Recycled Cardboard,34.1,4.7,98.2,1.35,80.2,5,Highly Recommended
Mushroom Mycelium,20.8,9.7,100,0.32,100,5,Highly Recommended
Virgin Plastic (PP),76.1,5.1,4.1,3.63,20.9,10,Avoid
Bagasse (Sugarcane),22.2,3,98.7,1.04,67.4,7,Highly Recommended
Mushroom Mycelium,22.3,9.7,100,0.21,100,6,Highly Recommended
Bamboo Fiber,40.2,4.5,96.3,0.55,36.3,6,Highly Recommended
Virgin Plastic (PP),79,4.5,1,5.13,20.9,10,Avoid
Mushroom Mycelium,18.5,6.1,100,0.13,100,5,Highly Recommended
Bagasse (Sugarcane),30.6,1.6,98.3,1.19,62.7,5,Highly Recommended
Bioplastic (PLA),63.1,8.7,82.4,2.06,43.9,9,Consider as Option
Mushroom Mycelium,11,4.3,100,0.38,100,5,Highly Recommended
Bagasse (Sugarcane),38.7,7.7,98.7,1.1,69.7,5,Highly Recommended
Virgin Plastic (PP),66,4.6,3.8,5.57,18.2,10,Avoid
Bagasse (Sugarcane),32.3,7.8,95.9,1.15,54.9,6,Highly Recommended
Edible Seaweed Film,10.9,9.2,100,0.24,0.1,2,Consider as Option
Aluminum Foil,41.7,2.6,0,9.85,99.8,10,Avoid
Aluminum Foil,25.5,8.5,0,9.13,93.6,10,Avoid
Virgin Plastic (PP),82.2,7.6,3.7,5.49,16.4,10,Avoid
Bioplastic (PLA),56.3,0.9,90.9,2.12,43.4,8,Highly Recommended
Bamboo Fiber,46.8,1.9,95.8,0.73,35.4,8,Highly Recommended
Bagasse (Sugarcane),38.6,8.8,95.5,1.06,69.6,7,Highly Recommended
Bioplastic (PLA),71.5,6.6,88.7,1.93,48.3,9,Highly Recommended
Recycled Cardboard,16.9,1,94.9,0.85,98.3,5,Highly Recommended
Aluminum Foil,27.4,3,0,10.84,96.5,10,Avoid
Edible Seaweed Film,13.6,8,100,0.4,5.4,4,Consider as Option
Bioplastic (PLA),50.1,6.7,81.9,2.48,52.3,9,Consider as Option
Mushroom Mycelium,12.1,2.6,100,0.13,100,4,Highly Recommended
Mushroom Mycelium,22.8,7.9,100,0.14,100,6,Highly Recommended
Virgin Plastic (PP),69.9,9,4,4.19,14.5,10,Avoid
Bagasse (Sugarcane),20.4,9.5,99.3,1.38,61.5,7,Highly Recommended
Aluminum Foil,29.4,6.6,0,11.72,99,10,Avoid
Recycled Cardboard,20,4.2,95.8,1.21,94.8,5,Highly Recommended
Edible Seaweed Film,12.8,8.8,100,0.43,3.3,3,Consider as Option
Bioplastic (PLA),71.3,5.3,83.1,2.17,47.3,8,Consider as Option
Edible Seaweed Film,14.1,2.3,100,0.57,5.6,4,Consider as Option
Bamboo Fiber,57.6,1.6,99.8,0.74,32,8,Highly Recommended
Bagasse (Sugarcane),22.9,9.2,95.8,1.22,52.6,7,Highly Recommended
Aluminum Foil,32,7.7,0,8.34,91.7,10,Avoid
Aluminum Foil,30.7,1.8,0,10.96,97.6,10,Avoid
Bamboo Fiber,58.2,2.4,95.7,0.98,49.8,7,Highly Recommended
Recycled Cardboard,18.1,2.6,90.7,1.42,82.9,4,Highly Recommended
Bagasse (Sugarcane),20.2,6.7,99.8,1.24,57.1,7,Highly Recommended
Bamboo Fiber,59.6,4.4,97.3,0.66,39.8,8,Highly Recommended
Bioplastic (PLA),66.7,6,93,2.07,44.3,8,Highly Recommended
Bagasse (Sugarcane),23,2.1,95.3,1.26,55.4,7,Highly Recommended
Bamboo Fiber,55.6,5.4,99.9,0.51,44,6,Highly Recommended
Mushroom Mycelium,18.1,9,100,0.19,100,6,Highly Recommended
Bamboo Fiber,47.4,5.1,96.9,0.89,32,8,Highly Recommended
Bagasse (Sugarcane),23.7,9.6,99,1.07,69.5,7,Highly Recommended
Bamboo Fiber,43.5,4,97.6,0.9,44.9,6,Highly Recommended
Mushroom Mycelium,24.3,4.1,100,0.18,100,5,Highly Recommended
Bagasse (Sugarcane),34,5.5,97.1,1.03,67.9,7,Highly Recommended
Bamboo Fiber,52,5.2,96.3,0.76,34.7,7,Highly Recommended
Mushroom Mycelium,11.7,9.9,100,0.36,100,6,Highly Recommended
Bamboo Fiber,50.1,1.9,98,1.07,37.3,6,Highly Recommended
Recycled Cardboard,17.9,8.6,96.1,0.88,99.3,4,Highly Recommended
Aluminum Foil,32,7.3,0,9.24,94.5,10,Avoid
Recycled Cardboard,29.4,9.8,91.9,1,98.4,4,Highly Recommended
Edible Seaweed Film,7.5,1.9,100,0.48,0.2,2,Consider as Option
Mushroom Mycelium,17.4,2,100,0.14,100,5,Highly Recommended
Recycled Cardboard,26.4,4.7,92,0.95,86.3,3,Highly Recommended
Bioplastic (PLA),53,7.8,94,2.1,51.3,8,Highly Recommended
Bagasse (Sugarcane),34.9,2.3,98.9,0.99,57,5,Highly Recommended
Aluminum Foil,38.9,4.6,0,11.14,95.4,10,Avoid
Mushroom Mycelium,21.8,6.9,100,0.23,100,6,Highly Recommended
Recycled Cardboard,19.5,1.9,98.8,0.86,88.5,4,Highly Recommended
Aluminum Foil,39,5.1,0,9.77,96,10,Avoid
Mushroom Mycelium,10.3,6.9,100,0.21,100,5,Highly Recommended
Virgin Plastic (PP),88.9,8,1.8,5.99,18.3,10,Avoid
Bagasse (Sugarcane),34.1,3.8,95.1,1.18,61.2,7,Highly Recommended
Aluminum Foil,21.6,6.4,0,10.09,99.2,10,Avoid
Bagasse (Sugarcane),36.1,5.6,95.1,1.3,54.6,5,Highly Recommended
Aluminum Foil,41.9,3.8,0,11.92,96.1,10,Avoid
Edible Seaweed Film,10.8,8.3,100,0.31,6.4,4,Consider as Option
Bioplastic (PLA),59.7,7.1,81.8,2.18,58.9,8,Consider as Option
Bamboo Fiber,40.3,9.5,98.4,0.87,45.3,8,Highly Recommended
Bagasse (Sugarcane),25.7,1.5,95.2,1.13,68.4,7,Highly Recommended
Virgin Plastic (PP),69.5,6.9,0.7,4.18,21.3,10,Avoid
Bamboo Fiber,43.5,8.9,98.2,1.09,30.6,6,Highly Recommended
Virgin Plastic (PP),81.3,4.2,3.2,4.05,21.3,10,Avoid
Virgin Plastic (PP),70,3.9,1.5,5.16,11.2,10,Avoid
Aluminum Foil,35.5,10,0,8.28,94.9,10,Avoid
Aluminum Foil,41.7,4.4,0,10.41,96.8,10,Avoid
Recycled Cardboard,33.6,9.7,91,0.9,92.3,3,Highly Recommended
Edible Seaweed Film,13.5,6.5,100,0.47,8.9,4,Consider as Option
Bioplastic (PLA),73.3,3.6,88.3,1.8,59.4,8,Highly Recommended
Bioplastic (PLA),50.1,1.1,93.4,2.41,54.1,9,Highly Recommended
Aluminum Foil,37.5,4.8,0,10.47,93.5,10,Avoid
Bamboo Fiber,59.6,3.1,96,1.12,49.5,8,Highly Recommended
Mushroom Mycelium,10.7,6.9,100,0.27,100,4,Highly Recommended
Mushroom Mycelium,13.1,3.5,100,0.22,100,6,Highly Recommended
Bagasse (Sugarcane),26.9,9.8,99,1.24,65.8,7,Highly Recommended
Edible Seaweed Film,7.8,3.4,100,0.3,9.3,3,Consider as Option
Virgin Plastic (PP),64.2,1.6,3.1,4.69,14.8,10,Avoid
Edible Seaweed Film,13.9,0.7,100,0.53,5.4,4,Consider as Option
Bamboo Fiber,59.9,5.4,95.3,1.07,40.3,8,Highly Recommended
Bagasse (Sugarcane),31.5,7.7,97.7,1.19,68.1,6,Highly Recommended
Aluminum Foil,22.8,6.5,0,9.02,95.7,10,Avoid
Aluminum Foil,27.5,4.5,0,8.23,90.6,10,Avoid
Edible Seaweed Film,6,4.1,100,0.26,0.6,3,Consider as Option
Bagasse (Sugarcane),29.3,7,96.5,1.08,59.9,6,Highly Recommended
Recycled Cardboard,19.9,5.3,97.6,1.48,86.5,4,Highly Recommended
Bioplastic (PLA),64.4,4.6,86.2,2.01,53.6,9,Highly Recommended
Aluminum Foil,33.4,3.9,0,9.74,99.6,10,Avoid
Edible Seaweed Film,9.5,4.7,100,0.4,3.1,2,Consider as Option
Aluminum Foil,30.7,7.8,0,11.67,92.1,10,Avoid
Edible Seaweed Film,14.9,8.1,100,0.24,3.9,2,Consider as Option
Mushroom Mycelium,12.3,5.9,100,0.25,100,5,Highly Recommended
Bamboo Fiber,59.6,8.6,97.9,0.61,44.4,6,Highly Recommended
Virgin Plastic (PP),89.8,1.6,2.1,5.1,16.7,10,Avoid
Edible Seaweed Film,5.8,4.4,100,0.23,3.4,3,Consider as Option
Edible Seaweed Film,5.6,5.6,100,0.43,5.5,4,Consider as Option
Recycled Cardboard,27.8,9.5,96.6,0.89,92.5,5,Highly Recommended
Virgin Plastic (PP),79,6.8,1.4,5.55,18.5,10,Avoid
Aluminum Foil,37.7,7.6,0,8.12,100,10,Avoid
Bioplastic (PLA),65.5,3.6,83.3,1.84,53.6,9,Highly Recommended
Mushroom Mycelium,10.6,1.6,100,0.33,100,4,Highly Recommended
Aluminum Foil,39.8,5.7,0,10.31,90.5,10,Avoid
Bioplastic (PLA),53.7,3.9,82.7,2.1,54.6,9,Highly Recommended
Aluminum Foil,21.5,7.7,0,9.85,94.8,10,Avoid
Virgin Plastic (PP),62.5,8.9,3.2,3.84,16.8,10,Avoid
Virgin Plastic (PP),64.9,4.5,1.4,5.84,11,10,Avoid
Aluminum Foil,34,4.6,0,11.39,92.8,10,Avoid
Bioplastic (PLA),65.9,2.8,83.8,2.49,59.1,8,Consider as Option
Mushroom Mycelium,20.3,8.5,100,0.16,100,5,Highly Recommended
Bagasse (Sugarcane),29,8.5,97.2,0.95,62.5,5,Highly Recommended
Aluminum Foil,39.3,1.7,0,11.5,97.4,10,Avoid
Recycled Cardboard,22.1,6.5,95.8,1.1,80.2,3,Highly Recommended
Bamboo Fiber,55.9,6.4,96.9,1.11,43.2,7,Highly Recommended
Edible Seaweed Film,5.4,6.6,100,0.58,6.5,4,Consider as Option
Mushroom Mycelium,14.2,5.7,100,0.19,100,4,Highly Recommended
Bioplastic (PLA),56.1,4.7,89.4,1.98,43.2,8,Highly Recommended
Bagasse (Sugarcane),37.2,4.2,96.1,1.14,57.2,6,Highly Recommended
Aluminum Foil,22.1,7.3,0,11.34,98.6,10,Avoid
Recycled Cardboard,19.2,9.7,96.5,1.29,91.3,5,Highly Recommended
Bioplastic (PLA),67.2,7.7,93,2.35,55,8,Highly Recommended
Mushroom Mycelium,15.4,0.7,100,0.2,100,4,Highly Recommended
Edible Seaweed Film,13,0.9,100,0.47,5,2,Consider as Option
Bagasse (Sugarcane),23.1,4.1,97.8,1.27,57,6,Highly Recommended
Bagasse (Sugarcane),29.2,3.5,99.4,0.94,59.9,5,Highly Recommended
Aluminum Foil,42.1,9.8,0,9.58,97.3,10,Avoid
Recycled Cardboard,16.4,9.4,91,1.2,89.6,4,Highly Recommended
Aluminum Foil,20.5,6.2,0,10.61,96.7,10,Avoid
Recycled Cardboard,33.2,2.2,91.6,1.14,88.9,4,Highly Recommended
