Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Edible Seaweed Film,10.9,5.7,100,0.29,5.2,3,5.2276
Bamboo Fiber,49.7,8.2,98.7,0.65,36.4,8,17.6272
Bamboo Fiber,52.4,2.6,98.1,1.15,34.8,8,16.8604
Bagasse (Sugarcane),32,3.3,99.1,1.27,51.1,6,10.9418
Bamboo Fiber,51.2,3.1,99,0.75,36.1,8,16.5678
Bamboo Fiber,54.6,3.9,97.7,0.61,31.7,8,17.8086
Mushroom Mycelium,10.9,6.7,100,0.12,100,5,5.304
Recycled Cardboard,34.5,6.2,98.4,1.19,93.3,4,12.4614
Bagasse (Sugarcane),21,5.1,99.2,1.17,58.7,5,8.1466
Bagasse (Sugarcane),38.2,3.3,99.7,1.22,66.4,5,12.7612
Mushroom Mycelium,24.2,6.5,100,0.37,100,5,9.284
Bioplastic (PLA),63.7,7.9,89.5,1.63,58.9,8,21.8882
Mushroom Mycelium,19.1,7.1,100,0.39,100,6,7.938
Bagasse (Sugarcane),36.1,4.6,98.3,1.35,58.6,5,12.5628
Bamboo Fiber,58,2.1,96.9,0.95,39.9,7,18.3402
Bioplastic (PLA),51.2,10,94.5,2.32,41.2,8,18.9416
Bioplastic (PLA),53.9,3.1,86.2,1.53,56.3,9,17.4934
Virgin Plastic (PP),81.9,1.9,1.4,5.23,20.4,10,26.3452
Aluminum Foil,25.7,8.4,0,11.04,91.5,10,12.455
Bioplastic (PLA),54.1,1.8,83.3,2.15,52.3,8,17.2954
Aluminum Foil,20.3,5.5,0,11.24,94.7,10,9.9986
Mushroom Mycelium,16.5,6.5,100,0.23,100,4,6.946
Bamboo Fiber,45.2,4.5,99.1,1,44.2,6,15.2216
Mushroom Mycelium,22.4,1.9,100,0.16,100,4,7.322
Edible Seaweed Film,13.4,2.3,100,0.33,6.8,4,4.9624
Edible Seaweed Film,10.2,8.3,100,0.45,3.2,3,5.8336
Bioplastic (PLA),74.5,6.6,89.5,2.22,55.3,8,24.8634
Recycled Cardboard,26.7,4.6,94.6,1.08,83.5,5,9.639
Aluminum Foil,37.2,0.7,0,11.51,92.7,10,13.6866
Bamboo Fiber,50.6,1,96.6,0.67,44.7,7,15.7246
Virgin Plastic (PP),62.7,3.4,1.5,5.55,15.9,10,21.1082
Aluminum Foil,37.2,4.1,0,8.23,96.9,10,14.0422
Bamboo Fiber,55.1,1.9,95.6,0.96,49.3,7,17.3934
Edible Seaweed Film,8.7,9.3,100,0.43,2.1,2,5.6818
Bagasse (Sugarcane),29.6,6.2,99,1.22,53.4,7,11.0772
Edible Seaweed Film,12.3,5,100,0.34,2.5,2,5.453
Edible Seaweed Film,13.9,5.5,100,0.41,2.2,3,6.0976
Mushroom Mycelium,12.1,3.1,100,0.33,100,4,4.626
Virgin Plastic (PP),60.3,9.2,4.3,4.38,21.1,10,21.8838
Aluminum Foil,44.9,4.1,0,9.33,99.2,10,16.5676
Mushroom Mycelium,11,8.3,100,0.22,100,5,5.834
Aluminum Foil,26.9,4.6,0,10.8,93.2,10,11.6236
Mushroom Mycelium,22,8,100,0.2,100,4,9.04
Recycled Cardboard,18.7,1.8,90,1.38,92.8,5,6.4404
Mushroom Mycelium,22.1,3.8,100,0.26,100,5,7.822
Bagasse (Sugarcane),20.9,5.7,95.3,1.13,51.1,6,8.3038
Bagasse (Sugarcane),31,6.4,95.9,0.96,69,7,11.474
Recycled Cardboard,33.8,8.8,99.6,1.04,97,4,12.994
Edible Seaweed Film,11.1,6.8,100,0.6,7.4,4,5.6752
Bioplastic (PLA),53.6,3.4,92.6,2.32,59,9,17.646
Mushroom Mycelium,20,5.7,100,0.25,100,6,7.76
Virgin Plastic (PP),65.9,5.3,2.7,5.39,22.5,10,22.593
Aluminum Foil,33.8,5.6,0,11.32,96.8,10,14.0904
Virgin Plastic (PP),65.8,4.9,4.6,3.53,18.2,10,22.0796
Mushroom Mycelium,19.1,0.7,100,0.34,100,6,6.008
Bioplastic (PLA),72.8,5.2,93.8,1.9,56,9,23.868
Recycled Cardboard,28.7,6.3,91.4,1.13,91.4,3,10.7432
Bamboo Fiber,40.1,4,96.1,0.82,43.7,8,13.5066
Bioplastic (PLA),56,8.4,90.1,1.74,40.7,8,19.7866
Bagasse (Sugarcane),29.4,6.8,97,0.95,50.5,7,11.149
Virgin Plastic (PP),70.3,0.8,3.1,5.44,18.2,10,22.5816
Bagasse (Sugarcane),38.9,1.1,99.9,0.97,56.9,7,12.2802
Virgin Plastic (PP),70.2,8.9,3.3,4.52,20.3,10,24.7934
Bioplastic (PLA),50.9,4,86.5,2.01,50.9,9,16.9702
Virgin Plastic (PP),76.5,3.3,2,4.68,25.9,10,25.0242
Bamboo Fiber,50.8,9.4,95.2,0.62,40.5,6,18.303
Virgin Plastic (PP),81.1,8.5,0.6,5.55,21.5,10,28.147
Bagasse (Sugarcane),33.5,3.1,96.4,0.91,66.1,6,11.2298
Recycled Cardboard,31.5,4.1,93.2,1.32,81.2,3,10.9816
Virgin Plastic (PP),80.9,2.4,0.4,5.46,20.6,10,26.2408
Mushroom Mycelium,21.6,3.4,100,0.22,100,5,7.544
Recycled Cardboard,22,6,93.4,1.22,92.4,4,8.6592
Mushroom Mycelium,11.7,7.6,100,0.2,100,4,5.83
Virgin Plastic (PP),73,6.5,4.1,5.42,10.5,10,25.113
Virgin Plastic (PP),73.9,2.5,2.1,3.64,26.8,10,23.7944
Recycled Cardboard,32.2,6.2,90.1,1.05,80.5,5,11.769
Edible Seaweed Film,10.4,4.9,100,0.48,8.9,4,4.8682
Mushroom Mycelium,22,8.6,100,0.29,100,5,9.238
Bagasse (Sugarcane),39.7,6.8,99.2,1.12,61.5,5,14.251
Bioplastic (PLA),72.5,4.1,89.1,2.27,58.1,9,23.5178
Mushroom Mycelium,12.2,9.9,100,0.33,100,5,6.696
Bioplastic (PLA),56.8,7.8,85.3,1.56,51,8,19.79
Aluminum Foil,33.4,2.6,0,9.7,99,10,12.742
Aluminum Foil,26.4,4.8,0,8.75,98.1,10,11.1138
Virgin Plastic (PP),85.4,2.7,0.7,5.46,28.5,10,27.665
Mushroom Mycelium,17.4,8.1,100,0.3,100,5,7.71
Edible Seaweed Film,9.5,4.4,100,0.4,9.1,3,4.4318
Bioplastic (PLA),55.6,1.2,91.3,2.01,40.3,8,17.5614
Recycled Cardboard,19.6,2.9,90.5,1.37,82.8,4,7.0584
Recycled Cardboard,19.3,7.5,91,0.97,93,3,8.248
Bagasse (Sugarcane),27.3,7,99.3,1.05,69.9,5,10.5602
Bamboo Fiber,42.8,8.1,97.3,0.81,33.2,7,15.5656
Aluminum Foil,43.1,1.2,0,10.09,95.9,10,15.3162
Virgin Plastic (PP),71.4,9,2.7,5.76,23.3,10,25.4254
Recycled Cardboard,17.9,8,93.8,1.1,99.4,5,7.9912
Bioplastic (PLA),65.1,3.6,89,1.55,55.7,9,21.0086
Virgin Plastic (PP),62.5,1,0.7,5.73,18.5,10,20.359
Bamboo Fiber,49.6,2.7,97.2,0.97,48,8,15.988
Aluminum Foil,28.9,3.9,0,10.64,99.4,10,11.9692
Mushroom Mycelium,14.5,1.4,100,0.24,100,6,4.818
Bagasse (Sugarcane),37.4,8.8,95.9,1.18,55.7,5,14.1846
Bioplastic (PLA),57.8,7.1,89.6,1.75,54.3,8,19.9114
Bagasse (Sugarcane),20.4,8.9,99,1.14,51.8,6,9.1144
Recycled Cardboard,15.8,7.1,97.8,1.14,88.1,4,7.1218
Virgin Plastic (PP),88.5,1,4.5,4.12,25.5,10,27.823
Bamboo Fiber,41.8,3.8,98.3,1.01,48.9,6,13.9842
Bioplastic (PLA),54.1,9.2,85.2,2.34,46.1,9,19.5658
Edible Seaweed Film,13.5,7.7,100,0.46,4.6,4,6.6428
Bioplastic (PLA),60.7,7.1,88.3,1.72,45.3,9,20.7934
Aluminum Foil,29.4,2.6,0,10.35,99.7,10,11.6706
Aluminum Foil,21.1,4.4,0,11.55,95.8,10,9.9684
Aluminum Foil,23,1.7,0,10.2,98.1,10,9.4538
Recycled Cardboard,24.7,7.9,95.9,1.09,83.8,4,10.0304
Recycled Cardboard,18.8,2.1,91.8,1.1,93.1,3,6.5038
Bagasse (Sugarcane),26.9,6.8,95.4,0.98,61.3,5,10.3834
Virgin Plastic (PP),62.1,6,0.4,4.45,29.8,10,21.4604
Edible Seaweed Film,7.4,8.8,100,0.42,0.6,4,5.1428
Mushroom Mycelium,15.4,4.4,100,0.29,100,6,5.998
Aluminum Foil,45,5.4,0,10.4,93.2,10,17.2136
Recycled Cardboard,33.1,10,92.1,0.88,81.8,5,13.1424
Bioplastic (PLA),61.4,6.8,81.5,2.29,51.1,8,21.0158
Edible Seaweed Film,9.5,5.6,100,0.39,5.9,4,4.7962
Bamboo Fiber,42.1,6,95.3,0.8,40,8,14.71
Aluminum Foil,36.8,7.2,0,11.7,97.9,10,15.5442
Aluminum Foil,39.9,4,0,9.4,90.5,10,15.069
Aluminum Foil,44,7.3,0,9.85,97.7,10,17.3646
Bamboo Fiber,57.4,2.9,97.7,1.14,42.8,6,18.4324
Recycled Cardboard,24.8,6.5,94.1,0.93,88.4,3,9.5992
Aluminum Foil,42.7,0.7,0,11.61,91.3,10,15.3594
Aluminum Foil,21.7,8.8,0,9.52,94.7,10,11.0646
Bamboo Fiber,42.3,1.3,98.7,1.16,45.9,8,13.4202
Bagasse (Sugarcane),21.7,3.5,99,1.18,64.9,6,7.8662
Mushroom Mycelium,16.8,5.9,100,0.19,100,4,6.848
Bamboo Fiber,44.9,1.6,99.2,0.74,38.9,7,14.2202
Mushroom Mycelium,22.7,1.5,100,0.29,100,5,7.318
Aluminum Foil,26.1,7.5,0,10.24,93.7,10,12.1406
Edible Seaweed Film,9.9,1.1,100,0.48,8.5,4,3.579
Bagasse (Sugarcane),26.7,1.7,96.4,1.33,54.9,5,8.8762
Virgin Plastic (PP),60.4,4.5,3,5.18,26.7,10,20.6526
Recycled Cardboard,23.4,7.3,90,1.04,89.3,4,9.4394
Aluminum Foil,30.9,0.7,0,9.83,91.4,10,11.4632
Mushroom Mycelium,10.8,4,100,0.22,100,5,4.484
Recycled Cardboard,16.2,2.2,96,1.3,91,4,5.798
Aluminum Foil,31.1,5.5,0,8.33,90.8,10,12.6644
Recycled Cardboard,15.7,5.7,96.7,1.38,97.4,3,6.7012
Recycled Cardboard,21.8,7.7,94.4,1.45,96.8,5,9.1464
Edible Seaweed Film,6.3,2,100,0.42,3.6,3,2.7668
Edible Seaweed Film,12.2,7.2,100,0.41,1.7,3,6.0986
Edible Seaweed Film,6.3,6.3,100,0.37,4.7,3,4.0446
Bamboo Fiber,49.8,9.3,98.2,0.55,34.7,7,17.9706
Recycled Cardboard,22.9,0.6,94.6,1.02,92.1,4,7.2698
Recycled Cardboard,17.3,2.6,97.9,1.33,88.6,5,6.2588
Recycled Cardboard,30.3,4.2,99.8,1.44,84.2,5,10.6696
Recycled Cardboard,21.7,2.3,95.1,1.44,91.4,5,7.5052
Bioplastic (PLA),53,4.7,88.6,2.32,58.5,8,17.857
Bioplastic (PLA),68.7,2.6,88.3,2.34,46.2,8,21.9656
Bioplastic (PLA),74.8,3,85.3,2.02,42.9,9,23.8582
Virgin Plastic (PP),85.8,5.9,4.9,3.75,22.9,10,28.4142
Virgin Plastic (PP),82.1,9.7,0.2,3.87,14.2,10,28.4856
Bamboo Fiber,45.3,3.6,95.9,0.75,44.5,6,14.931
Edible Seaweed Film,10.8,9.2,100,0.2,6.9,3,6.2262
Virgin Plastic (PP),86,7.3,0.9,5.79,21.4,10,29.3052
Bagasse (Sugarcane),38.7,7.4,98.3,1.21,63.1,5,14.1458
Bamboo Fiber,50.8,3.3,99.7,0.72,33.9,8,16.5062
Mushroom Mycelium,17.5,9.9,100,0.33,100,6,8.286
Virgin Plastic (PP),72.6,1.9,4.8,4.9,29.4,10,23.4712
Bioplastic (PLA),67.2,8.8,86.7,1.98,47.2,9,23.3016
Aluminum Foil,21.7,3.5,0,9.41,95.7,10,9.4506
Aluminum Foil,25.3,3.8,0,9.41,96.6,10,10.6188
Bamboo Fiber,42.5,6.3,98.2,0.9,47.4,8,14.9252
Bamboo Fiber,57.2,6.8,95.3,0.5,48.3,7,19.4034
Bagasse (Sugarcane),30.3,4.4,95.4,1.35,64.7,6,10.7506
Virgin Plastic (PP),89.9,0.9,4.2,5.71,18.7,10,28.5446
Mushroom Mycelium,23.5,7.9,100,0.22,100,4,9.464
Edible Seaweed Film,11.1,6.9,100,0.39,3.4,2,5.6712
Bagasse (Sugarcane),38.6,5.8,97.1,1.07,59.8,7,13.6144
Recycled Cardboard,17.8,9.6,91.6,1.34,88.7,3,8.5106
Mushroom Mycelium,20.3,1.3,100,0.38,100,6,6.556
Aluminum Foil,27.4,2.8,0,9.37,90.1,10,10.9538
Bamboo Fiber,49,6.4,97.7,0.81,30.1,8,16.9218
Virgin Plastic (PP),65.7,4.9,4,5.09,19.7,10,22.3586
Mushroom Mycelium,18.8,8.7,100,0.2,100,6,8.29
Bioplastic (PLA),74,8.4,87.4,1.68,54,8,25.148
Mushroom Mycelium,11.4,7.9,100,0.39,100,5,5.868
Virgin Plastic (PP),63.1,3.1,2.8,4.59,15.5,10,20.947
Bagasse (Sugarcane),23,4.6,98.9,1.36,54.1,7,8.6438
Virgin Plastic (PP),80.3,7.4,4.7,3.65,16.9,10,27.2062
Recycled Cardboard,22,1.2,97.8,1.06,85.3,4,7.2014
Recycled Cardboard,27.6,6.5,95.6,1,80.8,5,10.4684
Aluminum Foil,21.2,5.4,0,10.95,96.3,10,10.1774
Bamboo Fiber,58.7,6.7,97.4,0.91,47.3,7,19.9074
Bioplastic (PLA),71,8.1,81.6,2.17,58.6,8,24.2468
Bagasse (Sugarcane),39.3,4.5,97.9,1.04,56.8,7,13.4344
Virgin Plastic (PP),61.2,6.3,3.8,5.57,11.9,10,21.5402
Bagasse (Sugarcane),37.6,6,96.3,1.23,62.8,5,13.4004
Bagasse (Sugarcane),35.7,2.4,97.1,1.08,60.9,6,11.7242
Bioplastic (PLA),70.4,4.4,92.8,2.12,55.8,8,22.9524
Aluminum Foil,35.9,2.7,0,8.92,98.1,10,13.3678
Recycled Cardboard,20.5,2.8,90.9,0.88,91.9,4,7.1822
Mushroom Mycelium,23.4,8.9,100,0.37,100,4,9.764
Bagasse (Sugarcane),31,1.7,95.8,1.12,69.6,5,10.0948
Virgin Plastic (PP),87.3,8.4,1.6,5.2,19.6,10,29.9108
Bagasse (Sugarcane),35.9,10,99.6,1.03,61,5,14.054
Edible Seaweed Film,7.3,7.1,100,0.46,2,2,4.608
Mushroom Mycelium,12.6,9.7,100,0.25,100,4,6.74
Recycled Cardboard,15.1,8.5,93.7,0.93,85.3,5,7.2954
Edible Seaweed Film,7.4,9.9,100,0.3,1.7,2,5.4466
Bamboo Fiber,46,8,97.6,0.56,47.5,6,16.417
Bamboo Fiber,49.2,9,96.2,0.89,42.2,6,17.7536
Aluminum Foil,32.1,9.6,0,8.02,96.6,10,14.1208
Aluminum Foil,35.2,8.9,0,8.26,92.7,10,14.8966
Recycled Cardboard,28.4,8.1,90.3,1.2,98.6,5,11.1928
Bioplastic (PLA),64.2,9,82.2,2.42,53.8,9,22.5364
Bagasse (Sugarcane),37.6,1.2,95.1,1.27,68.9,7,11.9562
Mushroom Mycelium,10.1,6.2,100,0.14,100,4,4.918
Virgin Plastic (PP),72.7,2,0.7,5.02,16.3,10,23.5814
Edible Seaweed Film,10.1,9.8,100,0.46,6.6,4,6.2488
Recycled Cardboard,24.7,9.5,96.4,1.44,84.4,4,10.5792
Edible Seaweed Film,8.5,2,100,0.44,2.2,3,3.4336
Bamboo Fiber,41.4,6.8,98.3,1.13,44.2,8,14.7976
Virgin Plastic (PP),75.2,1.3,4.5,5.53,10.3,10,24.2354
Aluminum Foil,34.1,9.4,0,9.98,91.7,10,15.0626
Virgin Plastic (PP),81.7,1.4,3.2,5.21,20.6,10,26.1308
Edible Seaweed Film,5.3,6.8,100,0.34,4.7,3,3.8886
Recycled Cardboard,19.6,6.1,91.5,0.83,86.2,3,7.9036
Bamboo Fiber,56.8,6.3,96.5,1,39.4,8,19.2512
Recycled Cardboard,22.5,8.7,92,1.1,91.9,3,9.5962
Bagasse (Sugarcane),24.9,2.5,96.3,1.02,56.2,7,8.5116
Bagasse (Sugarcane),29.9,7.7,99.1,1.17,69.7,6,11.5746
Mushroom Mycelium,14,4.5,100,0.23,100,5,5.596
Mushroom Mycelium,20.6,3.6,100,0.29,100,4,7.318
Recycled Cardboard,26.9,1.5,90.2,1.05,83.7,4,8.7626
Bioplastic (PLA),54.8,8.5,94.2,1.74,58.6,8,19.4208
Virgin Plastic (PP),70.6,3,3.9,3.77,22.8,10,22.9884
Recycled Cardboard,31.1,2.2,96.9,1.02,94.8,5,10.2044
Edible Seaweed Film,7.8,8.1,100,0.28,6.2,3,5.0136
Bamboo Fiber,58.1,8.9,95.5,0.59,31.4,6,20.3552
Bagasse (Sugarcane),25.6,4.2,97.3,1.34,65.1,5,9.2778
Recycled Cardboard,30.7,7.9,92,1.39,92.5,3,11.873
Bamboo Fiber,49.7,8.2,99.1,0.95,47.2,8,17.6656
Bagasse (Sugarcane),37.4,5.9,95.4,1.11,50.1,7,13.3118
Edible Seaweed Film,11.1,3.5,100,0.21,5.7,3,4.6106
Bagasse (Sugarcane),37.3,2.3,97,1.07,64.2,7,12.1656
Mushroom Mycelium,24.3,6.9,100,0.31,100,4,9.422
Virgin Plastic (PP),65.7,6.9,4.1,5.59,25.6,10,23.0468
Edible Seaweed Film,12.9,2.3,100,0.41,2.5,2,4.837
Bamboo Fiber,48.7,9.8,96.7,0.62,42.4,6,17.7892
Bioplastic (PLA),57.2,1,94.8,1.52,58.8,8,17.8464
Bioplastic (PLA),67,2.9,95,2.14,59.4,9,21.4792
Recycled Cardboard,32.7,9.8,94.5,1.31,98.3,3,13.0154
Bagasse (Sugarcane),28.3,6.4,95,0.94,62.4,5,10.6732
Mushroom Mycelium,16.5,8.8,100,0.31,100,6,7.652
Mushroom Mycelium,17,0.7,100,0.29,100,4,5.368
Bamboo Fiber,56.1,9.7,96.6,0.86,37.4,6,20.0372
Aluminum Foil,26.9,7.7,0,8.75,93,10,12.144
Virgin Plastic (PP),78.4,0.8,0.7,3.69,18.3,10,24.6614
Bamboo Fiber,55.8,4.9,99.3,1,38.2,6,18.5336
Recycled Cardboard,30.2,2.8,93.2,0.87,99.2,3,10.0756
Bagasse (Sugarcane),37.2,3.3,96.1,1.06,67.2,7,12.4276
Bagasse (Sugarcane),31.8,9.7,95.7,1.23,52.5,6,12.791
Aluminum Foil,38.6,1.6,0,10.21,94.9,10,14.1122
Bagasse (Sugarcane),36.3,4.9,99.2,1.24,50,7,12.708
Bamboo Fiber,40.9,3.2,96,0.76,34.3,7,13.5134
Bamboo Fiber,51.8,6.3,99.4,0.97,31.8,8,17.7604
Bamboo Fiber,50.5,0.6,95.2,0.77,43.1,6,15.5978
Aluminum Foil,33.4,9.1,0,9.97,97.6,10,14.7488
Aluminum Foil,35.9,3.6,0,10.53,97.4,10,13.9612
Mushroom Mycelium,18.1,4.8,100,0.14,100,5,6.898
Recycled Cardboard,27.3,2.4,97.1,1.03,89.3,4,9.1374
Bagasse (Sugarcane),23.5,7.8,97.4,0.95,53.2,5,9.6736
Bamboo Fiber,58.7,8,97.2,0.91,40.3,8,20.3114
Bioplastic (PLA),62.6,9.8,82.1,1.79,43.2,8,22.1916
Recycled Cardboard,17,6.4,93.9,0.93,95.4,4,7.2152
Bioplastic (PLA),52.7,8.1,88.5,2.23,55.9,8,18.7742
Bamboo Fiber,42.4,2.9,96.5,0.88,35.8,7,13.8944
Recycled Cardboard,33.3,8.9,95.2,0.92,88.2,4,12.8676
Mushroom Mycelium,16.5,9.7,100,0.21,100,4,7.902
Virgin Plastic (PP),61.3,0.8,0.3,4.94,20.1,10,19.7778
Aluminum Foil,35.3,5.7,0,11.55,97,10,14.616
Aluminum Foil,30.2,1.4,0,10.39,98.7,10,11.5606
Edible Seaweed Film,7.4,3.3,100,0.5,0.3,4,3.5094
Mushroom Mycelium,16.7,8.9,100,0.34,100,6,7.748
Aluminum Foil,38.9,8.2,0,11.27,93.6,10,16.3968
Bagasse (Sugarcane),27.9,8.8,99.6,1.27,56.4,7,11.3512
Bioplastic (PLA),68.1,6,87.5,2.12,41.9,9,22.7702
Aluminum Foil,40,7.9,0,11.08,97.5,10,16.591
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,19.5312
Virgin Plastic (PP),81,3.9,0.3,4.08,12.2,10,26.4616
Recycled Cardboard,23.8,7.2,95.1,0.95,98.2,5,9.4936
Edible Seaweed Film,7.5,0.6,100,0.39,4.4,3,2.6992
Bamboo Fiber,53.2,2.9,95.4,1.08,31.1,7,17.1838
Bagasse (Sugarcane),32.5,9.5,95.7,1.24,55.5,5,12.937
Mushroom Mycelium,24.6,7.4,100,0.23,100,4,9.646
Virgin Plastic (PP),76.8,2.5,3.6,5.53,29.4,10,25.0372
Bagasse (Sugarcane),33.5,6.5,95,1.16,67.5,7,12.297
Mushroom Mycelium,21.4,4.2,100,0.31,100,4,7.742
Recycled Cardboard,33.2,7.8,95.6,1.19,80.2,3,12.5776
Bagasse (Sugarcane),29.7,2.8,95.4,1.29,67,7,10.074
Bagasse (Sugarcane),34.5,2.8,96.5,1.31,57.4,5,11.5372
Bioplastic (PLA),52.7,5.4,90.4,1.97,51.4,9,17.9212
Aluminum Foil,24.2,9.6,0,8.8,94.7,10,11.9106
Bamboo Fiber,41.9,1.7,96.9,0.59,46.7,8,13.3046
Bioplastic (PLA),74.4,3.2,89.4,2.39,44.3,8,23.8694
Bioplastic (PLA),61.3,0.8,82,2.37,55.7,9,19.1926
Bioplastic (PLA),74.2,8.1,90.6,2.15,48.2,8,25.2236
Edible Seaweed Film,8.6,1.9,100,0.24,3.6,4,3.3908
Recycled Cardboard,32.4,9.7,97.3,1,97.6,5,12.8348
Edible Seaweed Film,6.4,1.5,100,0.58,6.1,2,2.6738
Recycled Cardboard,23.1,1,97.7,1.31,89.9,3,7.5122
Bioplastic (PLA),60.8,1.1,93,2.16,51.3,9,19.0994
Bamboo Fiber,42,6,97.9,0.91,30.5,7,14.721
Recycled Cardboard,34.1,4.7,98.2,1.35,80.2,5,11.9496
Mushroom Mycelium,20.8,9.7,100,0.32,100,5,9.214
Virgin Plastic (PP),76.1,5.1,4.1,3.63,20.9,10,25.2442
Bagasse (Sugarcane),22.2,3,98.7,1.04,67.4,7,7.8332
Mushroom Mycelium,22.3,9.7,100,0.21,100,6,9.642
Bamboo Fiber,40.2,4.5,96.3,0.55,36.3,6,13.6474
Virgin Plastic (PP),79,4.5,1,5.13,20.9,10,26.2342
Mushroom Mycelium,18.5,6.1,100,0.13,100,5,7.406
Bagasse (Sugarcane),30.6,1.6,98.3,1.19,62.7,5,9.9726
Bioplastic (PLA),63.1,8.7,82.4,2.06,43.9,9,22.0642
Mushroom Mycelium,11,4.3,100,0.38,100,5,4.666
Bagasse (Sugarcane),38.7,7.7,98.7,1.1,69.7,5,14.2006
Virgin Plastic (PP),66,4.6,3.8,5.57,18.2,10,22.4576
Bagasse (Sugarcane),32.3,7.8,95.9,1.15,54.9,6,12.3502
Edible Seaweed Film,10.9,9.2,100,0.24,0.1,2,6.2778
Aluminum Foil,41.7,2.6,0,9.85,99.8,10,15.2604
Aluminum Foil,25.5,8.5,0,9.13,93.6,10,12.0388
Virgin Plastic (PP),82.2,7.6,3.7,5.49,16.4,10,28.2052
Bioplastic (PLA),56.3,0.9,90.9,2.12,43.4,8,17.6972
Bamboo Fiber,46.8,1.9,95.8,0.73,35.4,8,14.8852
Bagasse (Sugarcane),38.6,8.8,95.5,1.06,69.6,7,14.4928
Bioplastic (PLA),71.5,6.6,88.7,1.93,48.3,9,23.9194
Recycled Cardboard,16.9,1,94.9,0.85,98.3,5,5.5434
Aluminum Foil,27.4,3,0,10.84,96.5,10,11.295
Edible Seaweed Film,13.6,8,100,0.4,5.4,4,6.7492
Bioplastic (PLA),50.1,6.7,81.9,2.48,52.3,9,17.6314
Mushroom Mycelium,12.1,2.6,100,0.13,100,4,4.436
Mushroom Mycelium,22.8,7.9,100,0.14,100,6,9.238
Virgin Plastic (PP),69.9,9,4,4.19,14.5,10,24.679
Bagasse (Sugarcane),20.4,9.5,99.3,1.38,61.5,7,9.323
Aluminum Foil,29.4,6.6,0,11.72,99,10,13.146
Recycled Cardboard,20,4.2,95.8,1.21,94.8,5,7.5124
Edible Seaweed Film,12.8,8.8,100,0.43,3.3,3,6.7594
Bioplastic (PLA),71.3,5.3,83.1,2.17,47.3,8,23.5194
Edible Seaweed Film,14.1,2.3,100,0.57,5.6,4,5.2228
Bamboo Fiber,57.6,1.6,99.8,0.74,32,8,18.044
Bagasse (Sugarcane),22.9,9.2,95.8,1.22,52.6,7,9.9688
Aluminum Foil,32,7.7,0,8.34,91.7,10,13.5946
Aluminum Foil,30.7,1.8,0,10.96,97.6,10,11.9468
Bamboo Fiber,58.2,2.4,95.7,0.98,49.8,7,18.4764
Recycled Cardboard,18.1,2.6,90.7,1.42,82.9,4,6.5282
Bagasse (Sugarcane),20.2,6.7,99.8,1.24,57.1,7,8.4038
Bamboo Fiber,59.6,4.4,97.3,0.66,39.8,8,19.4524
Bioplastic (PLA),66.7,6,93,2.07,44.3,8,22.3354
Bagasse (Sugarcane),23,2.1,95.3,1.26,55.4,7,7.8712
Bamboo Fiber,55.6,5.4,99.9,0.51,44,6,18.514
Mushroom Mycelium,18.1,9,100,0.19,100,6,8.168
Bamboo Fiber,47.4,5.1,96.9,0.89,32,8,16.064
Bagasse (Sugarcane),23.7,9.6,99,1.07,69.5,7,10.265
Bamboo Fiber,43.5,4,97.6,0.9,44.9,6,14.5402
Mushroom Mycelium,24.3,4.1,100,0.18,100,5,8.556
Bagasse (Sugarcane),34,5.5,97.1,1.03,67.9,7,12.1202
Bamboo Fiber,52,5.2,96.3,0.76,34.7,7,17.4426
Mushroom Mycelium,11.7,9.9,100,0.36,100,6,6.552
Bamboo Fiber,50.1,1.9,98,1.07,37.3,6,15.9394
Recycled Cardboard,17.9,8.6,96.1,0.88,99.3,4,8.1274
Aluminum Foil,32,7.3,0,9.24,94.5,10,13.649
Recycled Cardboard,29.4,9.8,91.9,1,98.4,4,11.9632
Edible Seaweed Film,7.5,1.9,100,0.48,0.2,2,3.1156
Mushroom Mycelium,17.4,2,100,0.14,100,5,5.848
Recycled Cardboard,26.4,4.7,92,0.95,86.3,3,9.5474
Bioplastic (PLA),53,7.8,94,2.1,51.3,8,18.7574
Bagasse (Sugarcane),34.9,2.3,98.9,0.99,57,5,11.444
Aluminum Foil,38.9,4.6,0,11.14,95.4,10,15.2872
Mushroom Mycelium,21.8,6.9,100,0.23,100,6,8.656
Recycled Cardboard,19.5,1.9,98.8,0.86,88.5,4,6.615
Aluminum Foil,39,5.1,0,9.77,96,10,15.192
Mushroom Mycelium,10.3,6.9,100,0.21,100,5,5.202
Virgin Plastic (PP),88.9,8,1.8,5.99,18.3,10,30.4314
Bagasse (Sugarcane),34.1,3.8,95.1,1.18,61.2,7,11.6836
Aluminum Foil,21.6,6.4,0,10.09,99.2,10,10.4196
Bagasse (Sugarcane),36.1,5.6,95.1,1.3,54.6,5,12.8608
Aluminum Foil,41.9,3.8,0,11.92,96.1,10,16.1018
Edible Seaweed Film,10.8,8.3,100,0.31,6.4,4,5.9792
Bioplastic (PLA),59.7,7.1,81.8,2.18,58.9,8,20.5582
Bamboo Fiber,40.3,9.5,98.4,0.87,45.3,8,15.2234
